endorser,district_17_url,district_19_url,props_url,state_senate_url
SEIU Local 1021,http://www.seiu1021.org/seiu-1021-endorsements-2016,http://www.seiu1021.org/seiu-1021-endorsements-2016,http://www.seiu1021.org/seiu-1021-endorsements-2016,http://www.seiu1021.org/seiu-1021-endorsements-2016
SF Chamber of Commerce,NA,NA,https://sfchamber.com/wp-content/uploads/2016/04/Voters-Guide-June-2016_FINAL.pdf,NA
SF Chronicle,NA,NA,http://www.sfchronicle.com/opinion/editorials/article/Chronicle-s-recommendations-for-the-June-7-7396773.php,http://www.sfchronicle.com/opinion/editorials/article/Chronicle-recommends-Scott-Wiener-for-Senate-7396467.php
SF Democrats,NA,NA,http://www.sfdemocrats.org/endorsements,http://www.sfdemocrats.org/endorsements
SF District 11 Democratic Club,http://www.sfd11dems.com,http://www.sfd11dems.com,http://www.sfd11dems.com,NA
SF Examiner,http://www.sfexaminer.com/examiner-endorsements-june-7-2016-presidential-primary-election,http://www.sfexaminer.com/examiner-endorsements-june-7-2016-presidential-primary-election,http://www.sfexaminer.com/examiner-endorsements-june-7-2016-presidential-primary-election,http://www.sfexaminer.com/examiner-endorsements-june-7-2016-presidential-primary-election/
SF Fire Fighters Local 798,http://myemail.constantcontact.com/San-Francisco-Firefighters-Local-798-Voting-Guide.html?soid=1114865855684&aid=q8nKHX0jyLo,http://myemail.constantcontact.com/San-Francisco-Firefighters-Local-798-Voting-Guide.html?soid=1114865855684&aid=q8nKHX0jyLo,http://myemail.constantcontact.com/San-Francisco-Firefighters-Local-798-Voting-Guide.html?soid=1114865855684&aid=q8nKHX0jyLo,http://myemail.constantcontact.com/San-Francisco-Firefighters-Local-798-Voting-Guide.html?soid=1114865855684&aid=q8nKHX0jyLo
SF Green Party,NA,NA,http://www.sfgreenparty.org/endorsements,NA
SF Moderates,http://www.sfmoderates.org/2016/05/endorsements-for-june-7-2016-election,http://www.sfmoderates.org/2016/05/endorsements-for-june-7-2016-election,http://www.sfmoderates.org/2016/05/endorsements-for-june-7-2016-election,http://www.sfmoderates.org/2016/05/endorsements-for-june-7-2016-election/
SF Tech Dems,http://www.sftechdems.org/endorsements_2016,http://www.sftechdems.org/endorsements_2016,http://www.sftechdems.org/endorsements_2016,http://www.sftechdems.org/endorsements_2016
SF Tenants and Families,http://www.sftenantsandfamilies.com,http://www.sftenantsandfamilies.com,http://www.sftenantsandfamilies.com,http://www.sftenantsandfamilies.com/
SF YIMBY,http://www.sfyimby.org/slate,http://www.sfyimby.org/slate,http://www.sfyimby.org/slate,NA
SF4ALL,http://sf4all.org/home/june-7-sf-election,http://sf4all.org/home/june-7-sf-election,http://sf4all.org/home/june-7-sf-election,http://sf4all.org/home/june-7-sf-election/
Sierra Club,http://sierraclub.org/san-francisco-bay/june2016endorsements#sf,http://sierraclub.org/san-francisco-bay/june2016endorsements#sf,http://sierraclub.org/san-francisco-bay/june2016endorsements#sf,http://sierraclub.org/san-francisco-bay/june2016endorsements#sf
South Beach District 6 Democratic Club,http://www.southbeachdems.com/endorsements,http://www.southbeachdems.com/endorsements,http://www.southbeachdems.com/endorsements,http://www.southbeachdems.com/endorsements
United Educators of San Francisco,http://www.uesf.org/june2016-election,http://www.uesf.org/june2016-election,http://www.uesf.org/june2016-election,http://www.uesf.org/june2016-election/
